cty,Name,Change_in_Fraction_of_College_Graduates
cty42061,"Huntingdon County, PA",3.5846453
cty42121,"Venango County, PA",3.4768143
cty42059,"Greene County, PA",3.462595
cty42131,"Wyoming County, PA",3.3796186
cty42065,"Jefferson County, PA",3.3703403
cty42105,"Potter County, PA",2.863512
cty42067,"Juniata County, PA",2.4576511
cty42087,"Mifflin County, PA",2.1578732
cty42057,"Fulton County, PA",1.7744088
cty45005,"Allendale County, SC",
cty45047,"Greenwood County, SC",6.3568497
cty45077,"Pickens County, SC",5.9721527
cty45063,"Lexington County, SC",5.7691689
cty45081,"Saluda County, SC",5.6454091
cty45053,"Jasper County, SC",5.6034632
cty45083,"Spartanburg County, SC",5.4810762
cty45007,"Anderson County, SC",5.3559246
cty45015,"Berkeley County, SC",5.1158781
cty45035,"Dorchester County, SC",5.0162239
cty45051,"Horry County, SC",4.970149
cty45039,"Fairfield County, SC",4.8560972
cty45087,"Union County, SC",4.7878947
cty45031,"Darlington County, SC",4.7090721
cty46005,"Beadle County, SD",4.4893332
cty45057,"Lancaster County, SC",3.9588013
cty45067,"Marion County, SC",3.7163239
cty45029,"Colleton County, SC",3.635355
cty45025,"Chesterfield County, SC",3.5342631
cty45009,"Bamberg County, SC",3.5118608
cty45059,"Laurens County, SC",3.4762011
cty45075,"Orangeburg County, SC",3.2524281
cty45037,"Edgefield County, SC",3.1364946
cty45085,"Sumter County, SC",2.6753979
cty45027,"Clarendon County, SC",2.0188532
cty45023,"Chester County, SC",1.6346302
cty45011,"Barnwell County, SC",0.90654182
cty45019,"Charleston County, SC",
cty45021,"Cherokee County, SC",2.3078585
cty45049,"Hampton County, SC",2.0952463
cty45089,"Williamsburg County, SC",1.6342621
cty45061,"Lee County, SC",1.5405326
cty45033,"Dillon County, SC",0.52658558
cty45069,"Marlboro County, SC",-0.031096935
cty46009,"Bon Homme County, SD",
cty46081,"Lawrence County, SD",14.171902
cty46035,"Davison County, SD",9.5172367
cty46029,"Codington County, SD",8.12819
cty46011,"Brookings County, SD",7.8255577
cty46099,"Minnehaha County, SD",6.9524117
cty46065,"Hughes County, SD",6.9517174
cty46027,"Clay County, SD",6.3861237
cty46023,"Charles Mix County, SD",6.0589066
cty46103,"Pennington County, SD",5.9960251
cty46093,"Meade County, SD",5.5764275
cty47023,"Chester County, TN",5.4248476
cty46019,"Butte County, SD",5.4154263
cty46121,"Todd County, SD",4.20368
cty46013,"Brown County, SD",3.4472084
cty46033,"Custer County, SD",
cty46037,"Day County, SD",
cty46047,"Fall River County, SD",
cty46051,"Grant County, SD",
cty46067,"Hutchinson County, SD",
cty46135,"Yankton County, SD",6.9465332
cty47005,"Benton County, TN",6.3988194
cty46079,"Lake County, SD",3.7585964
cty46083,"Lincoln County, SD",
cty46101,"Moody County, SD",
cty47037,"Davidson County, TN",9.2628384
cty47033,"Crockett County, TN",7.8495274
cty47011,"Bradley County, TN",7.2992849
cty47017,"Carroll County, TN",6.4521313
cty47009,"Blount County, TN",6.3613214
cty47043,"Dickson County, TN",6.2840624
cty47021,"Cheatham County, TN",6.2078924
cty47035,"Cumberland County, TN",5.5778933
cty46109,"Roberts County, SD",5.1182213
cty47015,"Cannon County, TN",4.2356067
cty47039,"Decatur County, TN",3.9528832
cty47025,"Claiborne County, TN",3.530386
cty47007,"Bledsoe County, TN",3.1320577
cty47029,"Cocke County, TN",3.0754428
cty47031,"Coffee County, TN",3.0507612
cty47019,"Carter County, TN",3.043437
cty47003,"Bedford County, TN",2.4677286
cty46113,,2.267622
cty46115,"Spink County, SD",
cty46123,"Tripp County, SD",
cty46125,"Turner County, SD",
cty46127,"Union County, SD",13.697551
cty46129,"Walworth County, SD",
cty47001,"Anderson County, TN",3.0839043
cty47013,"Campbell County, TN",2.5943666
cty47027,"Clay County, TN",
cty47105,"Loudon County, TN",11.716991
cty47047,"Fayette County, TN",9.8329391
cty47093,"Knox County, TN",9.055685
cty47113,"Madison County, TN",7.8030949
cty47065,"Hamilton County, TN",7.17033
cty47103,"Lincoln County, TN",6.7923603
cty47053,"Gibson County, TN",6.6345739
cty47125,"Montgomery County, TN",6.3233662
cty47091,"Johnson County, TN",5.4018774
cty47055,"Giles County, TN",4.8824835
cty47141,"Putnam County, TN",4.8208313
cty47079,"Henry County, TN",4.7766161
cty47115,"Marion County, TN",4.5673704
cty47109,"McNairy County, TN",4.5252676
cty47045,"Dyer County, TN",4.4370823
cty47147,"Robertson County, TN",4.3968554
cty47101,"Lewis County, TN",4.3966799
cty47099,"Lawrence County, TN",4.1903749
cty47077,"Henderson County, TN",4.0965514
cty47051,"Franklin County, TN",4.0782557
cty47075,"Haywood County, TN",4.075963
cty47119,"Maury County, TN",3.984066
cty47145,"Roane County, TN",3.9549799
cty47071,"Hardin County, TN",3.8797941
cty47073,"Hawkins County, TN",3.8434505
cty47131,"Obion County, TN",3.7853251
cty47107,"McMinn County, TN",3.7778692
cty47061,"Grundy County, TN",3.7392812
cty47117,"Marshall County, TN",3.7285981
cty47063,"Hamblen County, TN",3.5810909
cty47139,"Polk County, TN",3.4950008
cty47123,"Monroe County, TN",3.3946128
cty47085,"Humphreys County, TN",3.3893785
cty47069,"Hardeman County, TN",3.2647295
cty47133,"Overton County, TN",3.1715779
cty47121,"Meigs County, TN",2.9798226
cty47143,"Rhea County, TN",2.6915274
cty47057,"Grainger County, TN",2.6872878
cty47049,"Fentress County, TN",2.6437559
cty47111,"Macon County, TN",2.6135535
cty47059,"Greene County, TN",2.5586491
cty47067,"Hancock County, TN",
cty47081,"Hickman County, TN",1.7882562
cty47083,"Houston County, TN",
cty47097,"Lauderdale County, TN",2.7475438
cty47089,"Jefferson County, TN",1.7482834
cty47087,"Jackson County, TN",1.7395658
cty47095,"Lake County, TN",
cty47127,"Moore County, TN",
cty47129,"Morgan County, TN",1.6710088
cty47135,"Perry County, TN",
cty48039,"Brazoria County, TX",10.166805
cty47153,"Sequatchie County, TN",9.1926193
cty48007,"Aransas County, TX",8.914567
cty47183,"Weakley County, TN",8.4392414
cty47165,"Sumner County, TN",8.3437872
cty47179,"Washington County, TN",8.0105171
cty47149,"Rutherford County, TN",7.7684155
cty47189,"Wilson County, TN",7.7437048
cty47167,"Tipton County, TN",7.4378276
cty48019,"Bandera County, TX",7.2923946
cty48053,"Burnet County, TX",7.0724554
cty47157,"Shelby County, TN",6.7006741
cty48059,"Callahan County, TX",6.3051043
cty47159,"Smith County, TN",6.1369276
cty48063,"Camp County, TX",5.5352793
cty48029,"Bexar County, TX",4.843996
cty48067,"Cass County, TX",4.5852451
cty47155,"Sevier County, TN",4.3587399
cty48027,"Bell County, TX",4.320343
cty48057,"Calhoun County, TX",4.0958757
cty47163,"Sullivan County, TN",4.0162153
cty48035,"Bosque County, TX",3.9188499
cty48021,"Bastrop County, TX",3.6566696
cty48037,"Bowie County, TX",3.5328245
cty48071,"Chambers County, TX",3.2710171
cty47177,"Warren County, TN",3.1075001
cty47161,"Stewart County, TN",2.9543533
cty47181,"Wayne County, TN",2.9050398
cty48061,"Cameron County, TX",2.9031725
cty48015,"Austin County, TX",2.7963886
cty48055,"Caldwell County, TX",2.7778921
cty47169,"Trousdale County, TN",2.6976142
cty48005,"Angelina County, TX",2.6042719
cty48041,"Brazos County, TX",2.5356789
cty47185,"White County, TN",2.508481
cty47173,"Union County, TN",2.4482856
cty47171,"Unicoi County, TN",2.421629
cty48013,"Atascosa County, TX",2.3373184
cty47041,"DeKalb County, TN",2.2243795
cty48051,"Burleson County, TX",1.9448633
cty48049,"Brown County, TX",1.6251974
cty47151,"Scott County, TN",1.4439683
cty47175,"Van Buren County, TN",
cty47187,"Williamson County, TN",
cty48001,"Anderson County, TX",1.5100889
cty48003,"Andrews County, TX",0.35103416
cty48009,"Archer County, TX",
cty48017,"Bailey County, TX",
cty48025,"Bee County, TX",
cty48043,"Brewster County, TX",-0.35636902
cty48047,"Brooks County, TX",
cty48069,"Castro County, TX",
cty48073,"Cherokee County, TX",2.4614744
cty48075,"Childress County, TX",
cty48077,"Clay County, TX",6.3929482
cty48079,"Cochran County, TX",
cty48083,"Coleman County, TX",
cty48091,"Comal County, TX",11.017515
cty48187,"Guadalupe County, TX",9.931529
cty48157,"Fort Bend County, TX",8.7329884
cty48171,"Gillespie County, TX",8.5039558
cty48149,"Fayette County, TX",8.4330111
cty48085,"Collin County, TX",8.3114128
cty48097,"Cooke County, TX",7.031126
cty48093,"Comanche County, TX",6.942606
cty48089,"Colorado County, TX",4.687911
cty48099,"Coryell County, TX",4.0573578
cty48103,"Crane County, TX",
cty48107,"Crosby County, TX",
cty48111,"Dallam County, TX",
cty48159,"Franklin County, TX",7.9003067
cty48167,"Galveston County, TX",6.2893505
cty48177,"Gonzales County, TX",6.2105188
cty48139,"Ellis County, TX",6.0508204
cty48161,"Freestone County, TX",5.3030891
cty48121,"Denton County, TX",5.0853996
cty48181,"Grayson County, TX",5.0486546
cty48199,"Hardin County, TX",4.7407227
cty48133,"Eastland County, TX",3.8901567
cty48183,"Gregg County, TX",3.7477131
cty48141,"El Paso County, TX",3.5715513
cty48143,"Erath County, TX",3.1790848
cty48123,"DeWitt County, TX",3.1639652
cty48203,"Harrison County, TX",3.1358824
cty48131,"Duval County, TX",2.9282427
cty48185,"Grimes County, TX",2.8456926
cty48163,"Frio County, TX",2.5605831
cty48201,"Harris County, TX",2.3884277
cty48189,"Hale County, TX",2.3002968
cty48147,"Fannin County, TX",2.1668558
cty48135,"Ector County, TX",1.5951195
cty48145,"Falls County, TX",1.459384
cty48117,"Deaf Smith County, TX",1.2596397
cty48113,"Dallas County, TX",1.0533352
cty48115,"Dawson County, TX",-0.34285831
cty48127,"Dimmit County, TX",
cty48153,"Floyd County, TX",
cty48165,"Gaines County, TX",-0.22895145
cty48169,"Garza County, TX",
cty48179,"Gray County, TX",
cty48193,"Hamilton County, TX",
cty48195,"Hansford County, TX",
cty48197,"Hardeman County, TX",
cty48207,"Haskell County, TX",
cty48339,"Montgomery County, TX",9.2385063
cty48325,"Medina County, TX",7.7636766
cty48221,"Hood County, TX",7.6499758
cty48323,"Maverick County, TX",6.635838
cty48241,"Jasper County, TX",6.2345152
cty48285,"Lavaca County, TX",5.7983303
cty48209,"Hays County, TX",5.6001625
cty48265,"Kerr County, TX",5.4995193
cty48239,"Jackson County, TX",5.4296141
cty48219,"Hockley County, TX",5.174737
cty48223,"Hopkins County, TX",4.944087
cty48251,"Johnson County, TX",4.6842375
cty48217,"Hill County, TX",4.119071
cty48257,"Kaufman County, TX",4.0672626
cty48277,"Lamar County, TX",4.0649357
cty48287,"Lee County, TX",3.8201504
cty48309,"McLennan County, TX",3.7711792
cty48215,"Hidalgo County, TX",3.762208
cty48337,"Montague County, TX",3.5210094
cty48213,"Henderson County, TX",3.516923
cty48281,"Lampasas County, TX",3.4619122
cty48225,"Houston County, TX",3.1172647
cty48227,"Howard County, TX",
cty48299,"Llano County, TX",11.095648
cty48303,"Lubbock County, TX",3.2454739
cty48289,"Leon County, TX",3.1552467
cty48313,"Madison County, TX",3.1181393
cty48315,"Marion County, TX",3.095942
cty48245,"Jefferson County, TX",2.5086851
cty48331,"Milam County, TX",2.2990065
cty48291,"Liberty County, TX",1.3198209
cty48321,"Matagorda County, TX",1.2006588
cty48233,"Hutchinson County, TX",1.1694708
cty48231,"Hunt County, TX",0.53457928
cty48237,"Jack County, TX",
cty48247,"Jim Hogg County, TX",
cty48293,"Limestone County, TX",0.57476616
cty48249,"Jim Wells County, TX",0.37710094
cty48253,"Jones County, TX",-0.63121414
cty48255,"Karnes County, TX",
cty48259,"Kendall County, TX",
cty48267,"Kimble County, TX",
cty48279,"Lamb County, TX",1.9395552
cty48273,"Kleberg County, TX",0.98791504
cty48283,"La Salle County, TX",
cty48297,"Live Oak County, TX",0.45584011
cty48305,"Lynn County, TX",
cty48307,"McCulloch County, TX",
cty48329,"Midland County, TX",
cty48335,"Mitchell County, TX",
cty48453,"Travis County, TX",8.4361954
cty48343,"Morris County, TX",8.3643999
cty48399,"Runnels County, TX",7.324832
cty48367,"Parker County, TX",6.2620249
cty48395,"Robertson County, TX",6.0419598
cty48353,"Nolan County, TX",6.0236998
cty48369,"Parmer County, TX",5.905385
cty48397,"Rockwall County, TX",5.6642799
cty48459,"Upshur County, TX",5.6362934
cty48415,"Scurry County, TX",5.531846
cty48457,"Tyler County, TX",5.3391314
cty48379,"Rains County, TX",4.6001592
cty48451,"Tom Green County, TX",4.3323727
cty48439,"Tarrant County, TX",4.3158836
cty48409,"San Patricio County, TX",4.1362829
cty48419,"Shelby County, TX",4.0452833
cty48357,"Ochiltree County, TX",4.0319223
cty48467,"Van Zandt County, TX",3.839653
cty48347,"Nacogdoches County, TX",3.5603848
cty48381,"Randall County, TX",3.5056801
cty48423,"Smith County, TX",3.4401283
cty48401,"Rusk County, TX",3.2931423
cty48375,"Potter County, TX",3.0536842
cty48469,"Victoria County, TX",3.0287189
cty48363,"Palo Pinto County, TX",2.9474297
cty48445,"Terry County, TX",2.7265453
cty48465,"Val Verde County, TX",2.6438551
cty48355,"Nueces County, TX",2.5982704
cty48441,"Taylor County, TX",2.5219631
cty48361,"Orange County, TX",2.4429941
cty48455,"Trinity County, TX",2.2967453
cty48373,"Polk County, TX",2.0185833
cty48349,"Navarro County, TX",1.9452324
cty48407,"San Jacinto County, TX",1.8701577
cty48387,"Red River County, TX",1.8120193
cty48351,"Newton County, TX",1.6961222
cty48403,"Sabine County, TX",1.5676346
cty48427,"Starr County, TX",1.4954243
cty48449,"Titus County, TX",1.4136667
cty48341,"Moore County, TX",0.94485474
cty48365,"Panola County, TX",-0.0048484802
cty48371,"Pecos County, TX",
cty48377,"Presidio County, TX",
cty48383,"Reagan County, TX",
cty48463,"Uvalde County, TX",0.4544754
cty48389,"Reeves County, TX",-0.16477299
cty48391,"Refugio County, TX",
cty48405,"San Augustine County, TX",
cty48411,"San Saba County, TX",
cty48429,"Stephens County, TX",
cty48437,"Swisher County, TX",
cty48471,"Walker County, TX",
cty50023,"Washington County, VT",12.364828
cty48473,"Waller County, TX",1.5774193
cty48475,"Ward County, TX",
cty48491,"Williamson County, TX",11.344587
cty49051,"Wasatch County, UT",11.026897
cty50007,"Chittenden County, VT",10.646545
cty50027,"Windsor County, VT",10.406225
cty49011,"Davis County, UT",9.150425
cty48477,"Washington County, TX",8.9522371
cty50005,"Caledonia County, VT",8.8803387
cty49049,"Utah County, UT",8.5128593
cty50015,"Lamoille County, VT",8.3819122
cty48493,"Wilson County, TX",8.3689613
cty50025,"Windham County, VT",8.0437965
cty49045,"Tooele County, UT",7.8566895
cty50003,"Bennington County, VT",7.6651325
cty49019,"Grand County, UT",7.6036625
cty50001,"Addison County, VT",6.6485233
cty50011,"Franklin County, VT",6.5824108
cty50017,"Orange County, VT",6.3441143
cty48479,"Webb County, TX",5.9895191
cty49035,"Salt Lake County, UT",5.7839069
cty50019,"Orleans County, VT",5.750062
cty48499,"Wood County, TX",5.6721659
cty49053,"Washington County, UT",5.2251778
cty50021,"Rutland County, VT",5.1762619
cty48497,"Wise County, TX",5.1403694
cty49005,"Cache County, UT",4.9325199
cty49021,"Iron County, UT",4.574646
cty48485,"Wichita County, TX",4.3391781
cty48481,"Wharton County, TX",3.9087191
cty48487,"Wilbarger County, TX",3.4308043
cty48505,"Zapata County, TX",2.0617175
cty48489,"Willacy County, TX",0.72708511
cty48495,"Winkler County, TX",
cty48501,"Yoakum County, TX",
cty49003,"Box Elder County, UT",4.0210953
cty49023,"Juab County, UT",3.9196615
cty49057,"Weber County, UT",3.8712273
cty49041,"Sevier County, UT",3.7119722
cty49047,"Uintah County, UT",3.2418642
cty49037,"San Juan County, UT",3.1948051
cty49027,"Millard County, UT",2.8927011
cty49039,"Sanpete County, UT",2.6485815
cty49007,"Carbon County, UT",2.5053997
cty48503,"Young County, TX",2.3306351
cty49013,"Duchesne County, UT",2.0570974
cty48507,"Zavala County, TX",0.5809617
cty49025,"Kane County, UT",
cty49043,"Summit County, UT",
cty51085,"Hanover County, VA",13.80464
cty51003,"Albemarle County, VA",13.046005
cty51095,"James City County, VA",12.524853
cty51065,"Fluvanna County, VA",9.5553226
cty51001,"Accomack County, VA",8.552474
cty51005,"Alleghany County, VA",
cty51087,"Henrico County, VA",10.930605
cty51023,"Botetourt County, VA",9.0351162
cty51043,"Clarke County, VA",8.8105698
cty51075,"Goochland County, VA",8.3549976
cty51063,"Floyd County, VA",8.0274677
cty51121,"Montgomery County, VA",7.9818726
cty51109,"Louisa County, VA",7.9417562
cty51099,"King George County, VA",7.9300518
cty51069,"Frederick County, VA",7.8652935
cty51061,"Fauquier County, VA",7.5342655
cty51079,"Greene County, VA",7.3470011
cty51041,"Chesterfield County, VA",6.8973141
cty51101,"King William County, VA",6.6530933
cty51033,"Caroline County, VA",6.5186806
cty51035,"Carroll County, VA",6.4535966
cty51113,"Madison County, VA",6.3975658
cty51047,"Culpeper County, VA",6.3259373
cty51009,"Amherst County, VA",6.2151079
cty51105,"Lee County, VA",5.5380301
cty51053,"Dinwiddie County, VA",5.3510599
cty51025,"Brunswick County, VA",5.3093739
cty51071,"Giles County, VA",4.8957796
cty51077,"Grayson County, VA",4.8559985
cty51029,"Buckingham County, VA",4.6744337
cty51089,"Henry County, VA",4.1379189
cty51011,"Appomattox County, VA",4.0399523
cty51007,"Amelia County, VA",2.3275895
cty51013,"Arlington County, VA",
cty51015,"Augusta County, VA",
cty51019,"Bedford County, VA",
cty51031,"Campbell County, VA",3.2589159
cty51117,"Mecklenburg County, VA",2.8652143
cty51027,"Buchanan County, VA",2.4578457
cty51036,"Charles City County, VA",
cty51049,"Cumberland County, VA",
cty51051,"Dickenson County, VA",3.9335566
cty51059,"Fairfax County, VA",
cty51067,"Franklin County, VA",4.2470398
cty51073,"Gloucester County, VA",2.6479101
cty51081,"Greensville County, VA",-0.443367
cty51083,"Halifax County, VA",
cty51093,"Isle of Wight County, VA",
cty51107,"Loudoun County, VA",
cty51111,"Lunenburg County, VA",2.3247995
cty51119,"Middlesex County, VA",
cty51179,"Stafford County, VA",13.915699
cty51177,"Spotsylvania County, VA",11.33275
cty51550,"Chesapeake city, VA",10.70125
cty51510,"Alexandria city, VA",10.490417
cty51163,"Rockbridge County, VA",10.149164
cty51127,"New Kent County, VA",10.138071
cty51187,"Warren County, VA",9.9151382
cty51161,"Roanoke County, VA",9.4315243
cty51540,"Charlottesville city, VA",9.1808243
cty51145,"Powhatan County, VA",8.8192825
cty51191,"Washington County, VA",7.337182
cty51165,"Rockingham County, VA",6.903574
cty51125,"Nelson County, VA",6.8915844
cty51131,"Northampton County, VA",6.6231127
cty51171,"Shenandoah County, VA",6.3965406
cty51680,"Lynchburg city, VA",6.3434315
cty51143,"Pittsylvania County, VA",5.6084781
cty51193,"Westmoreland County, VA",5.5534754
cty51515,,5.5310736
cty51630,"Fredericksburg city, VA",5.461216
cty51173,"Smyth County, VA",5.4606366
cty51185,"Tazewell County, VA",5.3370667
cty51520,"Bristol city, VA",5.0454025
cty51147,"Prince Edward County, VA",4.7553101
cty51197,"Wythe County, VA",4.363862
cty51137,"Orange County, VA",4.252615
cty51169,"Scott County, VA",3.609056
cty51570,"Colonial Heights city, VA",3.52178
cty51141,"Patrick County, VA",3.4848089
cty51135,"Nottoway County, VA",3.348978
cty51195,"Wise County, VA",3.3093367
cty51590,"Danville city, VA",3.268033
cty51167,"Russell County, VA",2.7834368
cty51139,"Page County, VA",2.5287943
cty51149,"Prince George County, VA",2.2351723
cty51153,"Prince William County, VA",
cty51155,"Pulaski County, VA",2.3799925
cty51159,"Richmond County, VA",
cty51175,"Southampton County, VA",
cty51181,"Surry County, VA",
cty51183,"Sussex County, VA",1.1875954
cty51199,"York County, VA",
cty51530,"Buena Vista city, VA",
cty51580,"Covington city, VA",
cty51595,"Emporia city, VA",
cty51600,"Fairfax city, VA",
cty51620,"Franklin city, VA",
cty51640,"Galax city, VA",
cty51660,"Harrisonburg city, VA",3.1466942
cty51650,"Hampton city, VA",2.1674728
cty51683,"Manassas city, VA",1.8917007
cty51685,"Manassas Park city, VA",
cty53031,"Jefferson County, WA",14.077616
cty51800,"Suffolk city, VA",12.353193
cty53033,"King County, WA",11.972179
cty53055,"San Juan County, WA",11.285351
cty53073,"Whatcom County, WA",9.7025814
cty51840,"Winchester city, VA",9.3227577
cty53037,"Kittitas County, WA",8.7944241
cty53011,"Clark County, WA",8.6571102
cty53061,"Snohomish County, WA",8.5542583
cty51775,"Salem city, VA",8.4129906
cty51760,"Richmond city, VA",8.2813911
cty53035,"Kitsap County, WA",8.2191086
cty53029,"Island County, WA",8.1874752
cty51690,"Martinsville city, VA",1.9346237
cty51700,"Newport News city, VA",
cty51790,"Staunton city, VA",8.1091843
cty53009,"Clallam County, WA",7.3382378
cty53007,"Chelan County, WA",7.1459255
cty51740,"Portsmouth city, VA",6.6343803
cty53057,"Skagit County, WA",6.6319313
cty51710,"Norfolk city, VA",6.6213799
cty53063,"Spokane County, WA",6.5980263
cty53059,"Skamania County, WA",6.5443115
cty53039,"Klickitat County, WA",6.5318947
cty53067,"Thurston County, WA",6.4496174
cty51770,"Roanoke city, VA",6.2321348
cty53065,"Stevens County, WA",6.2243767
cty51810,"Virginia Beach city, VA",6.0773582
cty53003,"Asotin County, WA",6.053093
cty53053,"Pierce County, WA",5.8262959
cty53045,"Mason County, WA",5.7453117
cty53047,"Okanogan County, WA",5.462513
cty53051,"Pend Oreille County, WA",5.4260626
cty51830,"Williamsburg city, VA",5.4079819
cty53049,"Pacific County, WA",5.1691542
cty51735,"Poquoson city, VA",4.7999249
cty53017,"Douglas County, WA",4.2029562
cty53041,"Lewis County, WA",3.5522575
cty53027,"Grays Harbor County, WA",3.1519756
cty51730,"Petersburg city, VA",2.3920012
cty51750,"Radford city, VA",1.6531754
cty51820,"Waynesboro city, VA",
cty54037,"Jefferson County, WV",12.522142
cty54079,"Putnam County, WV",10.655964
cty54049,"Marion County, WV",7.1651278
cty54003,"Berkeley County, WV",6.9905443
cty54029,"Hancock County, WV",6.8264418
cty54035,"Jackson County, WV",6.6094847
cty54061,"Monongalia County, WV",6.1508083
cty54063,"Monroe County, WV",6.1411872
cty54069,"Ohio County, WV",6.1150017
cty54025,"Greenbrier County, WV",5.7560205
cty54091,"Taylor County, WV",5.7289572
cty54039,"Kanawha County, WV",5.4408112
cty54083,"Randolph County, WV",5.0390053
cty54053,"Mason County, WV",4.9308791
cty54033,"Harrison County, WV",4.8884811
cty54055,"Mercer County, WV",4.8019371
cty53071,"Walla Walla County, WA",4.6062336
cty54067,"Nicholas County, WV",4.3553267
cty54081,"Raleigh County, WV",4.0976248
cty54043,"Lincoln County, WV",3.969595
cty53005,"Benton County, WA",3.8109322
cty54077,"Preston County, WV",3.7661839
cty54057,"Mineral County, WV",3.6965561
cty54099,"Wayne County, WV",3.648818
cty54089,"Summers County, WV",3.6448393
cty54097,"Upshur County, WV",3.4574528
cty54041,"Lewis County, WV",3.2227983
cty53015,"Cowlitz County, WA",3.14079
cty54023,"Grant County, WV",3.020299
cty54011,"Cabell County, WV",2.9631596
cty54031,"Hardy County, WV",2.8186131
cty54051,"Marshall County, WV",2.5546064
cty54009,"Brooke County, WV",2.4424667
cty54045,"Logan County, WV",2.4108658
cty54019,"Fayette County, WV",2.3976631
cty54059,"Mingo County, WV",2.0550504
cty53077,"Yakima County, WA",2.0411253
cty54001,"Barbour County, WV",1.9441557
cty54005,"Boone County, WV",1.6188374
cty54007,"Braxton County, WV",1.5205164
cty51670,"Hopewell city, VA",1.1942081
cty54013,"Calhoun County, WV",
cty54015,"Clay County, WV",
cty54017,"Doddridge County, WV",
cty54021,"Gilmer County, WV",
cty54087,"Roane County, WV",2.8386607
cty53075,"Whitman County, WA",2.1715355
cty53025,"Grant County, WA",1.6661596
cty54027,"Hampshire County, WV",1.3154736
cty53001,"Adams County, WA",1.267786
cty54047,"McDowell County, WV",1.1181598
cty53021,"Franklin County, WA",1.04494
cty54065,"Morgan County, WV",0.59129906
cty54071,"Pendleton County, WV",
cty54073,"Pleasants County, WV",
cty54075,"Pocahontas County, WV",
cty54085,"Ritchie County, WV",
cty54093,"Tucker County, WV",
cty54095,"Tyler County, WV",
cty54101,"Webster County, WV",
cty55089,"Ozaukee County, WI",12.467747
cty55015,"Calumet County, WI",11.69094
cty55029,"Door County, WI",10.366442
cty55025,"Dane County, WI",10.232334
cty55059,"Kenosha County, WI",9.3292265
cty55049,"Iowa County, WI",8.7138815
cty55087,"Outagamie County, WI",8.5396328
cty55035,"Eau Claire County, WI",8.3064308
cty55007,"Bayfield County, WI",8.08148
cty55063,"La Crosse County, WI",7.4984798
cty55079,"Milwaukee County, WI",7.4676132
cty55073,"Marathon County, WI",7.4365749
cty55093,"Pierce County, WI",7.3838539
cty55085,"Oneida County, WI",6.9321985
cty55003,"Ashland County, WI",6.5674191
cty54103,"Wetzel County, WV",2.9681025
cty54105,"Wirt County, WV",
cty55009,"Brown County, WI",8.2249756
cty55013,"Burnett County, WI",7.127018
cty55095,"Polk County, WI",6.6958656
cty55021,"Columbia County, WI",6.6899986
cty55017,"Chippewa County, WI",6.6864061
cty55045,"Green County, WI",6.2609692
cty55031,"Douglas County, WI",6.2278576
cty55055,"Jefferson County, WI",6.2264433
cty55071,"Manitowoc County, WI",5.8854122
cty55005,"Barron County, WI",5.5233946
cty54107,"Wood County, WV",5.3950529
cty55033,"Dunn County, WI",5.2850761
cty55023,"Crawford County, WI",5.2815428
cty55065,"Lafayette County, WI",5.2275887
cty55053,"Jackson County, WI",4.9783659
cty55061,"Kewaunee County, WI",4.9482069
cty55083,"Oconto County, WI",4.8964052
cty55027,"Dodge County, WI",4.7355824
cty55047,"Green Lake County, WI",4.7271414
cty55039,"Fond du Lac County, WI",4.5735798
cty55043,"Grant County, WI",4.4066057
cty55081,"Monroe County, WI",4.4016361
cty55067,"Langlade County, WI",4.2707996
cty55011,"Buffalo County, WI",4.0676575
cty55075,"Marinette County, WI",4.0442553
cty55069,"Lincoln County, WI",3.8871965
cty55001,"Adams County, WI",3.3886905
cty55041,"Forest County, WI",3.3708038
cty55077,"Marquette County, WI",3.0576229
cty55057,"Juneau County, WI",3.0093508
cty55019,"Clark County, WI",2.1089687
cty54109,"Wyoming County, WV",1.7841625
cty55091,"Pepin County, WI",
cty08107,"Routt County, CO",12.141865
cty55109,"St. Croix County, WI",11.77177
cty55125,"Vilas County, WI",11.444795
cty55133,"Waukesha County, WI",11.375856
cty56001,"Albany County, WY",10.277718
cty55131,"Washington County, WI",9.9826651
cty08097,"Pitkin County, CO",9.2302895
cty08019,"Clear Creek County, CO",9.100008
cty55127,"Walworth County, WI",7.662035
cty55113,"Sawyer County, WI",7.4178715
cty55121,"Trempealeau County, WI",7.3039455
cty55123,"Vernon County, WI",7.1948709
cty55117,"Sheboygan County, WI",7.152482
cty56029,"Park County, WY",6.8694763
cty55097,"Portage County, WI",6.8635044
cty55111,"Sauk County, WI",6.7615356
cty55139,"Winnebago County, WI",6.5705223
cty55105,"Rock County, WI",6.2485018
cty55101,"Racine County, WI",5.9206352
cty55129,"Washburn County, WI",5.7308712
cty56013,"Fremont County, WY",5.7183781
cty55141,"Wood County, WI",5.4944077
cty56015,"Goshen County, WY",5.3455038
cty56033,"Sheridan County, WY",5.0181293
cty55135,"Waupaca County, WI",4.8934841
cty55115,"Shawano County, WI",4.4605894
cty56009,"Converse County, WY",4.283392
cty56007,"Carbon County, WY",4.2768469
cty56003,"Big Horn County, WY",3.9587212
cty55099,"Price County, WI",3.9394979
cty55107,"Rusk County, WI",3.8252621
cty55103,"Richland County, WI",3.8039541
cty55119,"Taylor County, WI",3.6765327
cty55137,"Waushara County, WI",2.5735559
cty56023,"Lincoln County, WY",2.1796837
