cty,Name,Change_in_Fraction_of_College_Graduates
cty16051,"Jefferson County, ID",4.7276497
cty16075,"Payette County, ID",4.7003469
cty13233,"Polk County, GA",4.6875596
cty17079,"Jasper County, IL",4.6567383
cty17041,"Douglas County, IL",4.6233797
cty13175,"Laurens County, GA",4.5462465
cty17051,"Fayette County, IL",4.3063116
cty13225,"Peach County, GA",4.2210932
cty13199,"Meriwether County, GA",4.2128181
cty13191,"McIntosh County, GA",4.2108574
cty17061,"Greene County, IL",4.2108383
cty13167,"Johnson County, GA",4.1677914
cty17033,"Crawford County, IL",4.1575108
cty13231,"Pike County, GA",4.1171722
cty17021,"Christian County, IL",3.9978104
cty17011,"Bureau County, IL",3.4199991
cty16083,"Twin Falls County, ID",3.3816957
cty13177,"Lee County, GA",3.3075161
cty13251,"Screven County, GA",3.2763872
cty13161,"Jeff Davis County, GA",3.1821423
cty13195,"Madison County, GA",3.1761742
cty16079,"Shoshone County, ID",2.9781847
cty13163,"Jefferson County, GA",2.7096019
cty13173,"Lanier County, GA",2.5830779
cty13193,"Macon County, GA",2.5689392
cty13255,"Spalding County, GA",2.4067316
cty13159,"Jasper County, GA",2.0922194
cty13229,"Pierce County, GA",1.927032
cty16073,"Owyhee County, ID",1.8836679
cty13179,"Liberty County, GA",1.8322363
cty13205,"Mitchell County, GA",1.7414379
cty13189,"McDuffie County, GA",1.2038431
cty13213,"Murray County, GA",1.2031589
cty16053,"Jerome County, ID",0.85146236
cty13149,"Heard County, GA",0.14570761
cty13155,"Irwin County, GA",-0.21722126
cty13165,"Jenkins County, GA",
cty13171,"Lamar County, GA",-0.38411903
cty13181,"Lincoln County, GA",
cty13197,"Marion County, GA",
cty13201,"Miller County, GA",
cty13209,"Montgomery County, GA",
cty13219,"Oconee County, GA",
cty13221,"Oglethorpe County, GA",
cty13227,"Pickens County, GA",
cty13235,"Pulaski County, GA",
cty13243,"Randolph County, GA",
cty13267,"Tattnall County, GA",5.5956564
cty13261,"Sumter County, GA",3.4825916
cty13257,"Stephens County, GA",1.3220882
cty13263,"Talbot County, GA",
cty13269,"Taylor County, GA",
cty13271,"Telfair County, GA",
cty13273,"Terrell County, GA",
cty13291,"Union County, GA",9.8909254
cty16043,"Fremont County, ID",9.738802
cty16001,"Ada County, ID",9.3124695
cty13281,"Towns County, GA",8.8866606
cty15009,"Maui County, HI",7.9618988
cty15001,"Hawaii County, HI",7.766901
cty13297,"Walton County, GA",7.3892345
cty15007,"Kauai County, HI",7.2559547
cty16005,"Bannock County, ID",7.1222801
cty15003,"Honolulu County, HI",6.1509342
cty13275,"Thomas County, GA",5.9598055
cty13285,"Troup County, GA",5.6498413
cty16017,"Bonner County, ID",5.4582376
cty13317,"Wilkes County, GA",4.0722494
cty16027,"Canyon County, ID",3.9860945
cty13295,"Walker County, GA",3.7507324
cty13321,"Worth County, GA",3.4246049
cty13253,"Seminole County, GA",2.7441382
cty13245,"Richmond County, GA",2.4600468
cty13293,"Upson County, GA",2.3732214
cty13279,"Toombs County, GA",2.0160103
cty13277,"Tift County, GA",1.9009409
cty13283,"Treutlen County, GA",
cty13287,"Turner County, GA",
cty13289,"Twiggs County, GA",
cty13311,"White County, GA",4.8959694
cty13313,"Whitfield County, GA",3.574316
cty16031,"Cassia County, ID",2.1441936
cty13303,"Washington County, GA",1.7864904
cty13305,"Wayne County, GA",1.5408792
cty13299,"Ware County, GA",1.4233255
cty13301,"Warren County, GA",
cty13315,"Wilcox County, GA",
cty13319,"Wilkinson County, GA",
cty16007,"Bear Lake County, ID",
cty16011,"Bingham County, ID",3.1963377
cty16019,"Bonneville County, ID",2.7887821
cty16009,"Benewah County, ID",2.2430534
cty16021,"Boundary County, ID",1.1206932
cty16029,"Caribou County, ID",
cty16035,"Clearwater County, ID",
cty16039,"Elmore County, ID",
cty16041,"Franklin County, ID",1.8930769
cty16045,"Gem County, ID",1.678997
cty16049,"Idaho County, ID",0.20903015
cty16047,"Gooding County, ID",-0.42180538
cty16059,"Lemhi County, ID",
cty16069,"Nez Perce County, ID",3.1153812
cty16067,"Minidoka County, ID",1.6106529
cty16071,"Oneida County, ID",
cty16077,"Power County, ID",
cty17003,"Alexander County, IL",
cty17075,"Iroquois County, IL",4.3200178
cty17057,"Fulton County, IL",3.8460941
cty17081,"Jefferson County, IL",2.9912071
cty17029,"Coles County, IL",2.9286499
cty17017,"Cass County, IL",2.0483894
cty17037,"DeKalb County, IL",1.4112377
cty17047,"Edwards County, IL",
cty17065,"Hamilton County, IL",
cty17093,"Kendall County, IL",12.757896
cty17129,"Menard County, IL",11.296187
cty17113,"McLean County, IL",10.897556
cty17133,"Monroe County, IL",10.621993
cty17111,"McHenry County, IL",10.256214
cty17109,"McDonough County, IL",9.6523285
cty17089,"Kane County, IL",9.4984818
cty17085,"Jo Daviess County, IL",9.3353748
cty17097,"Lake County, IL",8.93606
cty17179,"Tazewell County, IL",8.5928783
cty17163,"St. Clair County, IL",8.4817314
cty17143,"Peoria County, IL",8.3540382
cty17119,"Madison County, IL",8.1930132
cty17189,"Washington County, IL",7.8486233
cty17125,"Mason County, IL",7.6463289
cty17167,"Sangamon County, IL",7.5347939
cty17181,"Union County, IL",7.0686998
cty17083,"Jersey County, IL",6.9372444
cty17161,"Rock Island County, IL",6.0362043
cty17123,"Marshall County, IL",5.8841381
cty17149,"Pike County, IL",5.7332191
cty17147,"Piatt County, IL",5.706542
cty17159,"Richland County, IL",5.5318584
cty17101,"Lawrence County, IL",5.4128075
cty17141,"Ogle County, IL",5.4110785
cty17107,"Logan County, IL",5.3852901
cty17173,"Shelby County, IL",5.3815136
cty17165,"Saline County, IL",5.3623486
cty17137,"Morgan County, IL",5.3134708
cty17115,"Macon County, IL",5.3043966
cty17117,"Macoupin County, IL",5.2921848
cty17127,"Massac County, IL",5.2769337
cty17091,"Kankakee County, IL",5.1302309
cty17099,"LaSalle County, IL",5.010293
cty17087,"Johnson County, IL",4.9604073
cty17135,"Montgomery County, IL",4.9019117
cty17187,"Warren County, IL",4.8586264
cty17145,"Perry County, IL",4.7339425
cty17105,"Livingston County, IL",4.6208506
cty17177,"Stephenson County, IL",3.8659811
cty17121,"Marion County, IL",3.8421831
cty17103,"Lee County, IL",3.8105841
cty17139,"Moultrie County, IL",3.6389523
cty17157,"Randolph County, IL",3.596262
cty17095,"Knox County, IL",2.9663649
cty17131,"Mercer County, IL",1.7748718
cty17153,"Pulaski County, IL",
cty17169,"Schuyler County, IL",
cty17171,"Scott County, IL",
cty18011,"Boone County, IN",12.450998
cty18063,"Hendricks County, IN",11.99902
cty17197,"Will County, IL",11.000427
cty17203,"Woodford County, IL",9.76542
cty18047,"Franklin County, IN",9.5029068
cty18037,"Dubois County, IN",9.1782055
cty18005,"Bartholomew County, IN",8.8999596
cty18059,"Hancock County, IN",8.8708105
cty18081,"Johnson County, IN",7.6496811
cty17199,"Williamson County, IL",6.468605
cty18033,"DeKalb County, IN",6.4208727
cty18029,"Dearborn County, IN",6.2494211
cty18043,"Floyd County, IN",6.1544523
cty18013,"Brown County, IN",6.0647774
cty18003,"Allen County, IN",5.7620316
cty18019,"Clark County, IN",5.6064873
cty17193,"White County, IL",5.2306643
cty17195,"Whiteside County, IL",5.1282072
cty18035,"Delaware County, IN",5.0615273
cty18051,"Gibson County, IN",5.055048
cty18085,"Kosciusko County, IN",4.8884478
cty18071,"Jackson County, IN",4.8883734
cty18031,"Decatur County, IN",4.8134222
cty18077,"Jefferson County, IN",4.7748137
cty18061,"Harrison County, IN",4.7730122
cty18073,"Jasper County, IN",4.7570705
cty18053,"Grant County, IN",4.6211615
cty18017,"Cass County, IN",4.6132708
