cty,Name,Change_in_Poverty_Rate
cty08089,"Otero County, CO",-1.6940403
cty12005,"Bay County, FL",-1.9532585
cty06115,"Yuba County, CA",-2.0137405
cty08015,"Chaffee County, CO",-2.0833778
cty12065,"Jefferson County, FL",-2.1415806
cty08119,"Teller County, CO",-2.1680202
cty08125,"Yuma County, CO",-2.5562267
cty06101,"Sutter County, CA",-2.594243
cty08039,"Elbert County, CO",-2.634963
cty12041,"Gilchrist County, FL",-2.7958155
cty12037,"Franklin County, FL",-2.8186684
cty08085,"Montrose County, CO",-2.9318438
cty08093,"Park County, CO",-3.0749612
cty12039,"Gadsden County, FL",-3.3867321
cty06105,"Trinity County, CA",-3.4365129
cty08001,"Adams County, CO",
cty08011,"Bent County, CO",
cty08013,"Boulder County, CO",
cty08014,"Broomfield County, CO",
cty08021,"Conejos County, CO",
cty08101,"Pueblo County, CO",-3.5600758
cty12023,"Columbia County, FL",-3.9933205
cty08051,"Gunnison County, CO",-4.3047504
cty08067,"La Plata County, CO",-5.2605057
cty08029,"Delta County, CO",-5.4422998
cty08055,"Huerfano County, CO",
cty08059,"Jefferson County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty08075,"Logan County, CO",-2.1420841
cty08087,"Morgan County, CO",-2.3743324
cty08077,"Mesa County, CO",-2.9094067
cty08083,"Montezuma County, CO",-3.2463818
cty08105,"Rio Grande County, CO",-6.2784939
cty08121,"Washington County, CO",
cty08123,"Weld County, CO",
cty12059,"Holmes County, FL",-5.6597595
cty12029,"Dixie County, FL",-7.8687954
cty12047,"Hamilton County, FL",-8.4003696
cty08071,"Las Animas County, CO",-9.9603748
cty12051,"Hendry County, FL",
cty12067,"Lafayette County, FL",
cty13009,"Baldwin County, GA",5.1442337
cty12073,"Leon County, FL",4.5473881
cty13015,"Bartow County, GA",4.0322933
cty12097,"Osceola County, FL",3.8654766
cty13017,"Ben Hill County, GA",3.1478176
cty13019,"Berrien County, GA",2.8864956
cty12115,"Sarasota County, FL",2.8704433
cty12107,"Putnam County, FL",2.7409668
cty13021,"Bibb County, GA",2.5721302
cty13001,"Appling County, GA",2.5255127
cty12085,"Martin County, FL",2.3000479
cty12117,"Seminole County, FL",2.2055597
cty12099,"Palm Beach County, FL",2.1972485
cty12123,"Taylor County, FL",2.1034603
cty12103,"Pinellas County, FL",2.0810719
cty12125,"Union County, FL",1.5123158
cty12081,"Manatee County, FL",1.4653044
cty12105,"Polk County, FL",1.4340458
cty12095,"Orange County, FL",1.4113369
cty12071,"Lee County, FL",1.3013277
cty12127,"Volusia County, FL",0.99248981
cty13023,"Bleckley County, GA",0.84908104
cty12091,"Okaloosa County, FL",0.10491562
cty12101,"Pasco County, FL",0.071671486
cty13011,"Banks County, GA",-0.28689384
cty12087,"Monroe County, FL",-0.51189613
cty12129,"Wakulla County, FL",-0.53132534
cty12069,"Lake County, FL",-0.69935894
cty13025,"Brantley County, GA",-0.79327393
cty12133,"Washington County, FL",-0.89803886
cty12111,"St. Lucie County, FL",-1.0376434
cty12075,"Levy County, FL",-1.6405029
cty12077,"Liberty County, FL",
cty12083,"Marion County, FL",-0.71974182
cty12086,"Miami-Dade County, FL",-1.0856953
cty13013,"Barrow County, GA",-1.1608982
cty13031,"Bulloch County, GA",-1.5776253
cty12121,"Suwannee County, FL",-1.7543583
cty12093,"Okeechobee County, FL",-2.2090683
cty12109,"St. Johns County, FL",-2.9166746
cty13035,"Butts County, GA",-3.1156359
cty12089,"Nassau County, FL",-3.1286364
cty13029,"Bryan County, GA",-3.3909731
cty12079,"Madison County, FL",-3.5177803
cty12113,"Santa Rosa County, FL",-3.8332376
cty12119,"Sumter County, FL",-4.9590321
cty12131,"Walton County, FL",-5.6354818
cty13003,"Atkinson County, GA",
cty13137,"Habersham County, GA",6.182724
cty13059,"Clarke County, GA",6.0138474
cty13063,"Clayton County, GA",5.9635487
cty13135,"Gwinnett County, GA",5.5411949
cty13147,"Hart County, GA",5.5381813
cty13089,"DeKalb County, GA",5.5340137
cty13115,"Floyd County, GA",5.2260332
cty13123,"Gilmer County, GA",4.894865
cty13129,"Gordon County, GA",4.7323837
cty13055,"Chattooga County, GA",4.5573101
cty13143,"Haralson County, GA",4.3697567
cty13097,"Douglas County, GA",4.3147631
cty13067,"Cobb County, GA",3.7721863
cty13139,"Hall County, GA",3.1412868
cty13039,"Camden County, GA",1.976202
cty13045,"Carroll County, GA",1.7999306
cty13113,"Fayette County, GA",1.710953
cty13105,"Elbert County, GA",1.3405857
cty13057,"Cherokee County, GA",1.0434222
cty13083,"Dade County, GA",0.82465267
cty13095,"Dougherty County, GA",0.79507065
cty13127,"Glynn County, GA",0.72789192
cty13119,"Franklin County, GA",0.64488792
cty13081,"Crisp County, GA",0.63045692
cty13091,"Dodge County, GA",0.4748497
cty13071,"Colquitt County, GA",0.049711227
cty13073,"Columbia County, GA",0.001991272
cty13131,"Grady County, GA",-0.10515022
cty13049,"Charlton County, GA",-0.3051033
cty13069,"Coffee County, GA",-0.3872776
cty13107,"Emanuel County, GA",-0.83766937
cty13087,"Decatur County, GA",-1.1164684
cty13047,"Catoosa County, GA",-1.1396952
cty13077,"Coweta County, GA",-1.1715574
cty13075,"Cook County, GA",-1.1820774
cty13117,"Forsyth County, GA",-1.342824
cty13085,"Dawson County, GA",-1.8599195
cty13109,"Evans County, GA",-1.8834763
cty13051,"Chatham County, GA",-1.9199524
cty13043,"Candler County, GA",-3.2861843
cty13053,"Chattahoochee County, GA",
cty13065,"Clinch County, GA",
cty13079,"Crawford County, GA",
cty13103,"Effingham County, GA",-2.1408052
cty13121,"Fulton County, GA",-2.9895601
cty13145,"Harris County, GA",-3.5188494
cty13133,"Greene County, GA",-3.725668
cty13111,"Fannin County, GA",-3.7338057
cty13099,"Early County, GA",-4.392786
cty13093,"Dooly County, GA",-5.428442
cty13033,"Burke County, GA",-6.914629
cty13027,"Brooks County, GA",-9.4149113
cty13005,"Bacon County, GA",-10.763141
cty13141,"Hancock County, GA",
cty13247,"Rockdale County, GA",5.7703133
cty13155,"Irwin County, GA",4.8899708
cty13167,"Johnson County, GA",4.7921009
cty13213,"Murray County, GA",4.7221603
cty13171,"Lamar County, GA",4.6242313
cty13245,"Richmond County, GA",4.2379971
cty13169,"Jones County, GA",3.7972536
